,AFT_reference,sample_id,borehole,long,lat,x_swiss_grid,y_swiss_grid,elevation,depth,depth_min,depth_max,location,outcrop_or_borehole,lithology,tectonic_unit,stratigraphic_unit,stratigraphic_age_min,stratigraphic_age_max,include_in_compilation,AFT_central_age,AFT_central_age_stdev,AFT_central_age_95ci_min,AFT_central_age_95ci_plus,AFT_n_grains,AFT_Dpar,AFT_Dper,AFT_age_dispersion_perc,AFT_P_chi_sq,P_X2,AFT_reset,AFT_resetting_depth,Unnamed: 31,Unnamed: 32,AFT_mean_track_length,AFT_track_length_stderr,AFT_track_length_stdev,N ap TL,ZFT_age,ZFT_age_stdev,ZFT_n_grains,ZFT_reference,AHe_mean age,AHe_mean age_error_perc,Ahe_reset,AHe_reference
241,von Hagke et al 2012,E05,,8.007584,46.843457,643398.254246,188192.264375,1140.0,,,,,outcrop,,,Globigerinenschiefer,38.0,35.0,y,10.2,2.75,,,15.0,1.24,0.36,34.6,,,y,,,,,,,,,,,,10.01,7.22,,von_Hagke_etal2012
242,von Hagke et al 2012,E10,,8.0138364263,46.901394607,643827.992833,194636.450026,845.0,,,,,outcrop,,,Hilfernschichten,35.0,31.0,y,12.3,2.25,,,34.0,1.4,0.43,24.6,,,y,,,,,,,,,,,,6.65,1.91,,von_Hagke_etal2012
244,von Hagke et al 2012,E30,,8.0166017043,46.9266609993,644018.019475,197446.786912,800.0,,,,,outcrop,,,UMM,31.0,30.0,y,10.3,1.11,,,32.0,1.4,0.42,12.6,,,y,,,,,,,,,,,,6.3,0.39,,von_Hagke_etal2012
245,von Hagke et al 2012,E35,,8.0160803073,46.9270234884,643978.014339,197486.791713,785.0,,,,,outcrop,,,UMM,31.0,30.0,y,11.0,1.76,,,19.0,1.24,0.34,14.2,,,y,,,,,,,,,,,,5.95,0.11,,von_Hagke_etal2012
246,von Hagke et al 2012,E40,,8.0090026037,46.9283184367,643437.944697,197626.808548,772.0,,,,,outcrop,,,USM-I,25.5,24.5,y,10.3,1.91,,,19.0,1.23,0.35,14.4,,,y,,,,,,,,,,,,5.37,2.35,,von_Hagke_etal2012
247,von Hagke et al 2012,E45,,8.0135039814,46.9317146311,643777.988903,198006.854111,758.0,,,,,outcrop,,,USM-I,25.5,24.5,y,12.1,1.76,,,27.0,1.32,0.41,23.0,,,y,,,,,,,,,,,,8.92,0.78,,von_Hagke_etal2012
248,von Hagke et al 2012,E50,,8.0096205023,46.9370419831,643477.950595,198596.924928,745.0,,,,,outcrop,,,USM-I,23.0,22.0,y,8.08,1.49,,,24.0,1.18,0.34,30.1,,,y,,,,,,,,,,,,8.53,2.29,,von_Hagke_etal2012
249,von Hagke et al 2012,E55,,7.9668878978,46.932478683,640227.530409,198066.861508,800.0,,,,,outcrop,,,USM-I,19.5,18.5,y,24.4,3.23,,,27.0,1.26,0.37,13.9,,,n,,,,,,,,,,,,9.05,3.92,,von_Hagke_etal2012
250,von Hagke et al 2012,E60,,7.9547234126,46.9376620681,639297.410651,198636.929934,970.0,,,,,outcrop,,,OMM,17.5,16.5,y,23.2,3.92,,,23.0,1.25,0.38,17.7,,,n,,,,,,,,,,,,11.68,28.8,,von_Hagke_etal2012
251,von Hagke et al 2012,E65,,7.9988349236,46.986035956,642617.843508,204037.578446,773.0,,,,,outcrop,,,OSM,17.0,16.0,y,15.8,1.64,,,55.0,1.3,0.38,16.1,,,n,,,,,,,,,,,,14.8,1.92,,von_Hagke_etal2012
252,von Hagke et al 2012,E70b,,7.939145,47.001901,638065.71406,205770.623072,1325.0,,,,,outcrop,,,OSM,17.0,16.0,y,21.9,1.24,,,40.0,1.42,0.39,6.26,,,n,,,,,,,,,,,,21.31,1.32,,von_Hagke_etal2012
254,von Hagke et al 2012,RH05,,8.602992,47.023616,688515.066932,208719.877088,620.0,,,,,outcrop,,,Flysch,37.0,35.0,n,14.5,3.5,,,37.0,1.28,0.4,31.4,,,y,,,,,,,,,,,,3.57,0.4,,von_Hagke_etal2012
260,von Hagke et al 2012,RH35,,8.4087625296,47.0735394534,673681.90004,214068.776065,562.0,,,,,outcrop,,,USM-II,23.5,22.5,y,17.7,5.15,,,11.0,1.4,0.43,17.6,,,y,,,,,,,,,,,,8.08,1.27,,von_Hagke_etal2012
262,von Hagke et al 2012,RH45,,8.4167045944,47.0902060161,674261.980946,215929.000681,535.0,,,,,outcrop,,,USM-II,22.5,21.5,y,22.8,2.93,,,40.0,1.25,0.36,19.4,,,n,,,,,,,,,,,,9.86,2.98,,von_Hagke_etal2012
264,von Hagke et al 2012,RH60c,,8.3385145565,47.0857618908,668331.202088,215363.936509,465.0,,,,,outcrop,,,OMM,20.43,15.97,y,3.79,1.83,,,6.0,1.16,0.31,0.0,,,v,,,,,,,,,,,,7.69,3.77,,von_Hagke_etal2012
274,von_Hagke_etal2014,B25,,9.89256,47.43156,785106.319292,256312.620337,520.0,,,,,outcrop,,,UMM,37.0,23.03,y,23.5,9.65,,,,,,,,,n,,,,,,,,,,,,7.63,0.57,y,von_Hagke_etal2014
276,von_Hagke_etal2014,B55,,9.83029,47.51075,780142.191841,264968.255144,640.0,,,,,outcrop,,,USM,23.03,20.43,y,23.5,3.77,,,,,,,,,n,,,,,,,,,,,,8.56,2.53,y,von_Hagke_etal2014
277,von_Hagke_etal2014,B60,,9.78322,47.53855,776505.524668,267950.863932,760.0,,,,,outcrop,,,OSM,18.0,16.0,y,55.4,10.8,,,,,,,,,n,,,,,,,,,,,,10.82,17.65,y,von_Hagke_etal2014
278,von_Hagke_etal2014,B15,,9.886282,47.426613,784650.067288,255748.063551,560.0,,,,,outcrop,,,Flysch,95.0,93.0,n,,,,,,,,,,,,,,,,,,,,,,,4.97,0.54,y,von_Hagke_etal2014
279,von_Hagke_etal2014,B35,,9.86446,47.468586,782860.052019,260361.459477,480.0,,,,,outcrop,,,USM,28.4,23.03,y,,,,,,,,,,,,,,,,,,,,,,,4.36,1.46,y,von_Hagke_etal2014
280,von_Hagke_etal2014,B40,,9.857165,47.475315,782287.262375,261092.293381,475.0,,,,,outcrop,,,USM,28.4,23.03,y,,,,,,,,,,,,,,,,,,,,,,,9.14,0.73,y,von_Hagke_etal2014
281,von_Hagke_etal2014,B45,,9.844155,47.480881,781288.019482,261680.712107,460.0,,,,,outcrop,,,USM,28.4,23.03,y,,,,,,,,,,,,,,,,,,,,,,,7.19,2.01,y,von_Hagke_etal2014
283,von_Hagke_etal2012,RH12,,,,,,,,,,,outcrop,,,USM-I,,,y,,,,,,,,,,,,,,,,,,,,,,,4.29,0.35,y,von_Hagke_etal2012
284,von_Hagke_etal2012,RH17,,,,,,,,,,,outcrop,,,USM-I,28.4,25.0,y,,,,,,,,,,,,,,,,,,,,,,,3.59,1.89,y,von_Hagke_etal2012
285,von_Hagke_etal2012,RH23,,,,,,,,,,,outcrop,,,UMM,33.9,28.4,y,,,,,,,,,,,,,,,,,,,,,,,5.8,0.51,y,von_Hagke_etal2012
286,This_Study,S1,,8.481814,47.055166,679256.715526,212097.930261,1750.0,,,,,outcrop,,,USM-I,,,y,,,,,,,,,,,,,,,,,,,,,,,10.2,2.24,n,This_Study
287,This_Study,S2,,8.46024,47.041345,677638.01809,210538.981632,1215.0,,,,,outcrop,,,USM-I,26.0,23.03,y,,,,,,,,,,,,,,,,,,,,,,,15.75,0.51,n,This_Study
288,This_Study,S20,,8.418922,47.043594,674494.912048,210749.050223,440.0,,,,,outcrop,,,USM-II,23.03,20.43,y,,,,,,,,,,,,,,,,,,,,,,,4.69,0.3,y,This_Study
289,This_Study,S3,,8.450385,47.031618,676903.431498,209448.776829,630.0,,,,,outcrop,,,USM-I,28.4,23.03,y,,,,,,,,,,,,,,,,,,,,,,,6.25,5.84,n,This_Study
290,This_Study,S31,,8.496015,47.007007,680407.650341,206758.791478,665.0,,,,,outcrop,,,USM-I,26.0,23.03,y,,,,,,,,,,,,,,,,,,,,,,,9.76,5.53,y,This_Study
291,This_Study,S64,,8.353148,47.040422,669501.204351,210336.323343,475.0,,,,,outcrop,,,USM,23.03,20.43,y,,,,,,,,,,,,,,,,,,,,,,,5.92,0.42,y,This_Study
292,This_Study,S7,,8.399869,47.078254,673000.128854,214584.114097,550.0,,,,,outcrop,,,USM,23.03,20.43,y,,,,,,,,,,,,,,,,,,,,,,,15.53,2.25,y,This_Study
