well/sample,well,gof_vr_max,gof_aft_max,gof_T_max,gof_aft_T_max,cooling_vr_best,cooling_vr_min,cooling_vr_max,cooling_aft_best,cooling_aft_min,cooling_aft_max,cooling_at_best,cooling_at_min,cooling_at_max,cooling_at_est_best,cooling_at_est_min,cooling_at_est_max,exhumation_vr_best,exhumation_vr_min,exhumation_vr_max,exhumation_aft_best,exhumation_aft_min,exhumation_aft_max,exhumation_at_best,exhumation_at_min,exhumation_at_max,exhumation_at_est_best,exhumation_at_est_min,exhumation_at_est_max,heat_flow_best,heat_flow_min,heat_flow_max,borehole,long,lat,x_swiss_grid,y_swiss_grid,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel,elevation_dem,relief,borehole_loc,long_loc,lat_loc,x_swiss_grid_loc,y_swiss_grid_loc,outcrop_or_borehole,cooling_min,cooling_best,cooling_max,data_type,x_swiss_coords,y_swiss_coords,tectonic_unit,strat_unit,sample_id2,elevation,depth,Rr,s,n,A,MA,source,cooling_surface_vr_min,cooling_surface_vr_best,cooling_surface_vr_max
Altishofen,Altishofen,0.4629595262,0.9999999948,,,66.8851127971,,,61.9571226497,0.0,76.4575853603,,,,57.4779999357,0.0,70.49479866850001,,,,,0.0,3000.0,,,,1500.0,0.0,2000.0,,0.065,0.065,Altishofen,7.9725399901,47.2042293187,640452.57645,228280.507203,26837.246079573335,26837.246079573335,257450.0258409649,514.302978515625,24.41400146484375,Altishofen,7.9725399901,47.2042293187,640452.57645,228280.507203,borehole,0.0,57.4779999357,70.49479866850001,aft,640452.57645,228280.507203,,,,,,,,,,,,,,
B25,B25,,0.9998638351,,,,,,79.37355265779999,68.9552619917,95.7682929613,,,,79.37355265779999,72.4053064456,95.7430109363,,,,,2000.0,3000.0,,,,2500.0,2500.0,3000.0,,0.065,0.065,,9.89256,47.43156,785106.319292,256312.620337,-6928.9986915662885,-6928.9986915662885,404106.24483479705,524.406982421875,0.0,,9.89256,47.43156,785106.319292,256312.620337,outcrop,72.4053064456,79.37355265779999,95.7430109363,aft,785106.319292,256312.620337,,,,,,,,,,,,,,
B55,B55,,1.0,,,,,,90.137206247,63.7957957272,103.0941349116,,,,84.2804548066,66.52328429720001,95.6463197915,,,,,1500.0,4500.0,,,,3000.0,2000.0,3500.0,,0.065,0.065,,9.83029,47.51075,780142.191841,264968.255144,2794.5360745852763,2794.5360745852763,405763.42508824205,652.9030151367188,0.0,,9.83029,47.51075,780142.191841,264968.255144,outcrop,66.52328429720001,84.2804548066,95.6463197915,aft,780142.191841,264968.255144,,,,,,,,,,,,,,
B60,B60,,0.9971740791,,,,,,0.0,0.0,84.5896761738,,,,0.0,0.0,84.5896761738,,,,,0.0,3500.0,,,,0.0,0.0,2500.0,,0.065,0.065,,9.78322,47.53855,776505.524668,267950.863932,7440.418323596881,7440.418323596881,405495.3619963025,803.2999877929688,0.0,,9.78322,47.53855,776505.524668,267950.863932,outcrop,0.0,0.0,84.5896761738,aft,776505.524668,267950.863932,,,,,,,,,,,,,,
Boswil,Boswil,,0.9999999999000002,0.9010907849,0.8986065763999997,,,,63.099685336,0.0,76.98317899199999,45.9876722556,17.0496711579,61.1254545651,45.9876722556,17.0496711579,61.1254545651,,,,,0.0,3000.0,,500.0,1750.0,,500.0,1750.0,,0.065,0.08,Boswil,8.251403999999999,47.260486,661515.72437,234715.851174,22357.447795935765,22357.447795935765,281997.07286262343,595.10302734375,1325.681884765625,Boswil,8.251404,47.260486,661515.72437,234715.851174,borehole,17.0496711579,45.9876722556,61.1254545651,aft,661515.72437,234715.851174,,,,,,,,,,,,,,
Chapelle,Chapelle,0.7021525361,0.9998996758,0.5171678784,0.73287911265,63.949370923900005,63.949370923900005,63.949370923900005,56.857616461000006,0.0,77.67302191,43.4613828741,24.7298914685,43.4613828741,43.4613828741,24.7298914685,43.4613828741,,1750.0,1750.0,,0.0,3000.0,,500.0,750.0,,500.0,750.0,,0.085,0.0899999999999999,Chapelle,6.7509513394,46.6656764733,547371.5675380001,168503.326326,9727.153222833991,9727.153222833991,135372.04803481343,771.697998046875,803.1929931640625,Chapelle,6.7509513394,46.6656764733,547371.567538,168503.326326,borehole,24.7298914685,43.4613828741,43.4613828741,aft,547371.5675380001,168503.326326,,,,,,,,,,,,,,
E20,E20,,1.0,,,,,,90.06586894989998,84.2188044221,155.9333451077,,,,90.5789091939,90.5789091939,105.2774901342,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.026795075399999,46.922110877200005,644798.119825,196946.726875,-1118.4455939293262,-1118.4455939293262,245106.7869417278,1045.4010009765625,1222.2239990234375,,8.0267950754,46.9221108772,644798.119825,196946.726875,outcrop,90.5789091939,90.5789091939,105.2774901342,aft,644798.119825,196946.726875,,,,,,,,,,,,,,
E30,E30,,1.0,,,,,,85.41698614180001,79.37355265779999,122.0295985779,,,,91.296513227,79.37355265779999,116.1130974858,,,,,2000.0,4500.0,,,,3000.0,2500.0,4000.0,,0.065,0.065,,8.0166017043,46.926660999300005,644018.019475,197446.786912,-276.1821289711313,-276.1821289711313,244791.40411653422,857.0,1210.3109130859375,,8.0166017043,46.9266609993,644018.019475,197446.786912,outcrop,79.37355265779999,91.296513227,116.1130974858,aft,644018.019475,197446.786912,,,,,,,,,,,,,,
E35,E35,,1.0,,,,,,85.41698614180001,79.37355265779999,111.0074084307,,,,91.296513227,79.37355265779999,107.50603558790002,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.0160803073,46.9270234884,643978.014339,197486.791713,-219.9131441543343,-219.9131441543343,244785.52224972894,797.1909790039062,1210.3109130859375,,8.0160803073,46.9270234884,643978.014339,197486.791713,outcrop,79.37355265779999,91.296513227,107.50603558790002,aft,643978.014339,197486.791713,,,,,,,,,,,,,,
E40,E40,,1.0,,,,,,90.06586894989998,80.47628411329998,105.2774901342,,,,90.5789091939,85.54247463129998,105.2774901342,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.0090026037,46.9283184367,643437.944697,197626.808548,155.41395162448032,155.41395162448032,244413.54278497346,746.4010009765625,1224.284912109375,,8.0090026037,46.9283184367,643437.944697,197626.808548,outcrop,85.54247463129998,90.5789091939,105.2774901342,aft,643437.944697,197626.808548,,,,,,,,,,,,,,
E45,E45,,1.0,,,,,,85.127284052,78.98194895479999,111.9006699443,,,,90.5789091939,78.98194895479999,105.2774901342,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.0135039814,46.93171463109999,643777.988903,198006.854111,310.03313632596524,310.03313632596524,244957.6617648484,764.2059936523438,1200.39599609375,,8.0135039814,46.9317146311,643777.988903,198006.854111,outcrop,78.98194895479999,90.5789091939,105.2774901342,aft,643777.988903,198006.854111,,,,,,,,,,,,,,
E50,E50,,0.9999999999000002,,,,,,93.3801802601,84.2188044221,110.0718088503,,,,90.5789091939,90.5789091939,105.2774901342,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.0096205023,46.9370419831,643477.950595,198596.924928,963.9651005639563,963.9651005639563,244983.42609949253,742.7050170898438,1133.491943359375,,8.0096205023,46.9370419831,643477.950595,198596.924928,outcrop,90.5789091939,90.5789091939,105.2774901342,aft,643477.950595,198596.924928,,,,,,,,,,,,,,
E55,E55,,1.0,,,,,,89.9104679374,0.0,112.4108927676,,,,98.0829925781,0.0,108.8364300386,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,7.9668878978,46.932478683,640227.530409,198066.861508,1806.281217604214,1806.281217604214,241973.56612647627,802.7930297851562,1229.8028564453125,,7.9668878978,46.932478683,640227.530409,198066.861508,outcrop,0.0,98.0829925781,108.8364300386,aft,640227.530409,198066.861508,,,,,,,,,,,,,,
E60,E60,,1.0,,,,,,85.7453827497,0.0,112.4108927676,,,,98.0829925781,0.0,108.8364300386,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,7.9547234126,46.9376620681,639297.410651,198636.929934,2834.992373780517,2834.992373780517,241846.24425621174,934.8939819335938,1139.50390625,,7.9547234126,46.9376620681,639297.410651,198636.929934,outcrop,0.0,98.0829925781,108.8364300386,aft,639297.410651,198636.929934,,,,,,,,,,,,,,
E65,E65,,1.0,,,,,,90.8323613874,66.6825528253,116.5980020343,,,,109.1063347421,66.6825528253,110.0799841077,,,,,1500.0,4500.0,,,,3500.0,2000.0,4000.0,,0.065,0.065,,7.9988349236,46.986035956,642617.843508,204037.578446,5636.640336211876,5636.640336211876,247835.3416567179,910.906005859375,1447.487060546875,,7.9988349236,46.986035956,642617.843508,204037.578446,outcrop,66.6825528253,109.1063347421,110.0799841077,aft,642617.843508,204037.578446,,,,,,,,,,,,,,
E70b,E70b,,1.0,,,,,,51.2944558977,0.0,112.6333015831,,,,109.1063347421,0.0,109.1063347421,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,7.939145,47.001901,638065.71406,205770.623072,9670.396356616779,9670.396356616779,242507.70313395944,1265.6009521484375,1229.623046875,,7.939145,47.001901,638065.71406,205770.623072,outcrop,0.0,109.1063347421,109.1063347421,aft,638065.71406,205770.623072,,,,,,,,,,,,,,
Entlebuch,Entlebuch,0.4445409219,0.7491216931,0.7525298081,0.614561309,12.414402079,,,18.0784153233,9.7026965049,31.945072839899996,12.805043626300002,,,12.805043626300002,,,,,,,250.0,750.0,,,,,,,,,,Entlebuch,8.1126139732,46.976094645299995,651282.964116,203000.452677,197.2444621347263,197.2444621347263,253992.0926795371,1134.801025390625,2081.68994140625,Entlebuch,8.1126139732,46.9760946453,651282.964116,203000.452677,borehole,,12.805043626300002,,aft,651282.964116,203000.452677,,,,,,,,,,,,,,
Herdern,Herdern,,1.0,,,,,,0.0,0.0,76.5154823576,,,,57.3269427158,0.0,64.1083487895,,,,,0.0,3000.0,,,,1750.0,0.0,2000.0,,0.065,0.065,Herdern,8.920304552000001,47.61399,711395.177731,274753.148733,39785.04588610032,39785.04588610032,342002.26347624185,525.6010131835938,0.0,Herdern,8.920304552,47.61399,711395.177731,274753.148733,borehole,0.0,57.3269427158,64.1083487895,aft,711395.177731,274753.148733,,,,,,,,,,,,,,
Huenenberg,Huenenberg,0.5715362511,0.7906170949,0.8303331438,0.7767887905499998,44.9926997343,,,28.9931390217,10.3845672768,67.98921437770001,28.9931390217,24.5449452141,45.711117896800005,28.9931390217,24.5449452141,45.711117896800005,,,,,250.0,2500.0,,750.0,1250.0,,750.0,1250.0,,0.065,0.07,Huenenberg,8.4347466574,47.1679846484,675522.032259,224592.555518,6007.949139876539,6007.949139876539,288473.43648521096,455.3009948730469,2074.60693359375,Huenenberg,8.4347466574,47.1679846484,675522.032259,224592.555518,borehole,24.5449452141,28.9931390217,45.711117896800005,aft,675522.032259,224592.555518,,,,,,,,,,,,,,
Lindau,Lindau,0.9944317758,0.9999976477000002,0.4999050836,0.7485645143,66.389613969,59.1768776769,89.77220379489998,48.09247589939999,16.2182029223,78.02163128249998,64.3359793358,30.5296634516,64.3359793358,64.3359793358,30.5296634516,64.3359793358,,1250.0,3000.0,,250.0,3000.0,,750.0,2000.0,,750.0,2000.0,,0.06,0.085,Lindau,8.6702652158,47.4415012119,692899.567907,255251.814818,30321.833652301382,30321.833652301382,304204.4006274156,519.302001953125,0.0,Lindau,8.6702652158,47.4415012119,692899.567907,255251.814818,borehole,30.5296634516,64.3359793358,64.3359793358,aft,692899.567907,255251.814818,,,,,,,,,,,,,,
Linden,Linden,,0.9996230322,0.9126584572,0.8943137255,,,,37.0616151992,0.0,68.1289247462,18.8614946746,7.4320767371,45.6018667866,18.8614946746,7.4320767371,45.6018667866,,,,,0.0,2750.0,,250.0,1250.0,,250.0,1250.0,,0.06,0.07,Linden,7.6722075464,46.8493138144,617814.6367350001,188712.739751,6083.6931367682155,6083.6931367682155,214684.03307506864,901.4990234375,1360.4910888671875,Linden,7.6722075464,46.8493138144,617814.636735,188712.739751,borehole,7.4320767371,18.8614946746,45.6018667866,aft,617814.6367350001,188712.739751,,,,,,,,,,,,,,
MRP025,MRP025,,0.9999999969,,,,,,28.494759434099997,0.0,93.4196547466,,,,44.7335493429,0.0,84.23891306209998,,,,,0.0,4000.0,,,,1000.0,0.0,2500.0,,0.065,0.065,,8.5767199611,47.0533831835,686470.005288,211999.522961,-10369.486674282965,-10369.486674282965,286662.7571134111,561.8980102539062,1841.10205078125,,8.5767199611,47.0533831835,686470.005288,211999.522961,outcrop,0.0,44.7335493429,84.23891306209998,aft,686470.005288,211999.522961,,,,,,,,,,,,,,
MRP067,MRP067,,1.0,,,,,,90.6142799148,75.8252841746,111.9006699443,,,,95.6463197915,78.98194895479999,104.6381291599,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,9.4971829822,47.3456840266,755540.050996,245910.128252,-7094.680585005901,-7094.680585005901,373036.91558853304,830.301025390625,0.0,,9.4971829822,47.3456840266,755540.050996,245910.128252,outcrop,78.98194895479999,95.6463197915,104.6381291599,aft,755540.050996,245910.128252,,,,,,,,,,,,,,
MRP087,MRP087,,0.9999977889,,,,,,0.0,0.0,75.95133139859999,,,,0.0,0.0,71.50437701109999,,,,,0.0,3000.0,,,,0.0,0.0,2000.0,,0.065,0.065,,6.8347777905,46.517516144,553659.589267,151980.515008,-7059.904392902238,-7059.904392902238,137819.99149729285,712.0919799804688,217.00296020507812,,6.8347777905,46.517516144,553659.589267,151980.515008,outcrop,0.0,0.0,71.50437701109999,aft,553659.589267,151980.515008,,,,,,,,,,,,,,
MRP117,MRP117,,1.0,,,,,,52.643807645200006,0.0,103.0941349116,,,,84.23891306209998,0.0,95.059238171,,,,,0.0,4500.0,,,,2500.0,0.0,3000.0,,0.065,0.065,,7.7554209462,46.7405104176,624210.032151,176639.566329,-7561.573130626356,-7561.573130626356,214150.91781960864,1505.001953125,1495.2109375,,7.7554209462,46.7405104176,624210.032151,176639.566329,outcrop,0.0,84.23891306209998,95.059238171,aft,624210.032151,176639.566329,,,,,,,,,,,,,,
MRP170,MRP170,,1.0,,,,,,0.0,0.0,97.5875313358,,,,84.23891306209998,0.0,95.059238171,,,,,0.0,4500.0,,,,2500.0,0.0,3000.0,,0.065,0.065,,8.485709014,47.0571278126,679550.026034,212319.511898,-6268.1112850876325,-6268.1112850876325,283457.3550875573,1780.5989990234375,1878.9989013671875,,8.485709014,47.0571278126,679550.026034,212319.511898,outcrop,0.0,84.23891306209998,95.059238171,aft,679550.026034,212319.511898,,,,,,,,,,,,,,
MRP172,MRP172,,1.0,,,,,,73.88672153819999,33.6570355393,103.0941349116,,,,95.059238171,34.673185154,95.6463197915,,,,,1000.0,4500.0,,,,3000.0,1000.0,3000.0,,0.065,0.065,,8.509302741,47.048813978599995,681355.0205989999,211419.511014,-7844.574105183318,-7844.574105183318,285407.9811241659,1045.1080322265625,2220.5927734375,,8.509302741,47.0488139786,681355.020599,211419.511014,outcrop,34.673185154,95.059238171,95.6463197915,aft,681355.0205989999,211419.511014,,,,,,,,,,,,,,
MRP174,MRP174,,1.0,,,,,,90.6142799148,75.8252841746,111.9006699443,,,,104.6381291599,78.98194895479999,104.6381291599,,,,,2000.0,4500.0,,,,3500.0,2500.0,3500.0,,0.065,0.065,,8.532667377100001,47.0554306163,683120.0147310001,212179.516955,-8027.5683757501565,-8027.5683757501565,286083.9637829794,449.7009887695313,2064.39990234375,,8.5326673771,47.0554306163,683120.014731,212179.516955,outcrop,78.98194895479999,104.6381291599,104.6381291599,aft,683120.0147310001,212179.516955,,,,,,,,,,,,,,
MRP179,MRP179,,1.0,,,,,,85.41698614180001,80.7495047679,103.1252231572,,,,91.296513227,86.2312960199,96.3376280368,,,,,2000.0,4500.0,,,,3000.0,3000.0,3000.0,,0.065,0.065,,8.0140744452,46.8842393867,643860.10276,192729.493993,-4593.588968027008,-4593.588968027008,243105.29346786754,883.406982421875,1638.5008544921875,,8.0140744452,46.8842393867,643860.10276,192729.493993,outcrop,86.2312960199,91.296513227,96.3376280368,aft,643860.10276,192729.493993,,,,,,,,,,,,,,
MRP187,MRP187,,1.0,,,,,,73.88672153819999,49.7207362744,103.0941349116,,,,95.059238171,53.4206350593,95.6463197915,,,,,1500.0,4500.0,,,,3000.0,1500.0,3000.0,,0.065,0.065,,7.306608939,46.7415932016,589910.050283,176719.934688,-382.8833247004632,-382.8833247004632,181011.80633099773,891.3060302734375,384.905029296875,,7.306608939,46.7415932016,589910.050283,176719.934688,outcrop,53.4206350593,95.059238171,95.6463197915,aft,589910.050283,176719.934688,,,,,,,,,,,,,,
MRP198,MRP198,,1.0,,,,,,51.5795995351,0.0,108.053401193,,,,107.5380439759,0.0,107.5380439759,,,,,0.0,4500.0,,,,3500.0,0.0,3500.0,,0.065,0.065,,8.1409348657,46.9939071342,653420.118605,204999.500625,368.6765641291685,368.6765641291685,257338.21343981716,875.6890258789062,1772.5999755859375,,8.1409348657,46.9939071342,653420.118605,204999.500625,outcrop,0.0,107.5380439759,107.5380439759,aft,653420.118605,204999.500625,,,,,,,,,,,,,,
MRT052,MRT052,,1.0,,,,,,0.0,0.0,93.4196547466,,,,44.7335493429,0.0,84.23891306209998,,,,,0.0,4000.0,,,,1000.0,0.0,2500.0,,0.065,0.065,,9.0070056333,47.1472758504,718949.946361,222999.706263,-7484.836211684687,-7484.836211684687,325927.723378866,813.89697265625,0.0,,9.0070056333,47.1472758504,718949.946361,222999.706263,outcrop,0.0,44.7335493429,84.23891306209998,aft,718949.946361,222999.706263,,,,,,,,,,,,,,
RH10,RH10,,1.0,,,,,,90.5789091939,80.47628411329998,106.4347357223,,,,90.5789091939,90.5789091939,105.2774901342,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.4971291788,47.008332088100005,680490.769997,206906.9045,-11113.836815241066,-11113.836815241066,279594.09246644645,778.0079956054688,1957.903076171875,,8.4971291788,47.0083320881,680490.769997,206906.9045,outcrop,90.5789091939,90.5789091939,105.2774901342,aft,680490.769997,206906.9045,,,,,,,,,,,,,,
RH15,RH15,,0.9987631025,,,,,,97.4811839541,85.127284052,99.6588071945,,,,90.5789091939,90.5789091939,90.5789091939,,,,,2000.0,4500.0,,,,3000.0,3000.0,3000.0,,0.065,0.065,,8.4514924324,47.0329457547,676985.32021,209597.23283800005,-6787.417808663633,-6787.417808663633,278680.59767562273,661.6920166015625,1093.406982421875,,8.4514924324,47.0329457547,676985.32021,209597.232838,outcrop,90.5789091939,90.5789091939,90.5789091939,aft,676985.32021,209597.23283800005,,,,,,,,,,,,,,
RH25,RH25,,0.6106886738,,,,,,98.7455540626,,,,,,,,,,,,,,,,,,,,,,,,,8.4261499695,47.0523388194,675032.0706890001,211728.492031,-3897.8203635649834,-3897.8203635649834,278592.87639281777,509.5960083007813,1393.0819091796875,,8.4261499695,47.0523388194,675032.070689,211728.492031,outcrop,,,,aft,675032.0706890001,211728.492031,,,,,,,,,,,,,,
RH30a,RH30a,,1.0,,,,,,87.7954876552,73.3208633058,114.8045567102,,,,107.5380439759,77.8840431259,108.6510521101,,,,,2000.0,4500.0,,,,3500.0,2500.0,4000.0,,0.065,0.065,,8.354240583300001,47.0417518627,669582.354992,210485.34627,-1595.8074659973806,-1595.8074659973806,273881.72344620863,471.9049987792969,2259.68017578125,,8.3542405833,47.0417518627,669582.354992,210485.34627,outcrop,77.8840431259,107.5380439759,108.6510521101,aft,669582.354992,210485.34627,,,,,,,,,,,,,,
RH30b,RH30b,,1.0,,,,,,88.80571426979998,82.29881879779998,108.6818042291,,,,90.8758475892,90.8758475892,108.309214004,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.354240583300001,47.0417518627,669582.354992,210485.34627,-1595.8074659973806,-1595.8074659973806,273881.72344620863,471.9049987792969,2259.68017578125,,8.3542405833,47.0417518627,669582.354992,210485.34627,outcrop,90.8758475892,90.8758475892,108.309214004,aft,669582.354992,210485.34627,,,,,,,,,,,,,,
RH35,RH35,,1.0,,,,,,83.3448786979,72.423207554,114.8045567102,,,,95.9039857706,77.8840431259,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,2500.0,3500.0,,0.065,0.065,,8.4087625296,47.0735394534,673681.90004,214068.776065,-1243.7216688764358,-1243.7216688764358,279098.5890154863,566.4080200195312,2008.0849609375,,8.4087625296,47.0735394534,673681.90004,214068.776065,outcrop,77.8840431259,95.9039857706,107.5380439759,aft,673681.90004,214068.776065,,,,,,,,,,,,,,
RH40,RH40,,0.9999998108,,,,,,89.0188308857,81.7522409579,114.8045567102,,,,90.8758475892,85.8046907082,107.5380439759,,,,,2000.0,4500.0,,,,3000.0,3000.0,3500.0,,0.065,0.065,,8.400969788200001,47.0795878233,673081.823056,214733.856996,-348.16729633306267,-348.16729633306267,279078.40492955985,595.1929931640625,2150.31591796875,,8.4009697882,47.0795878233,673081.823056,214733.856996,outcrop,85.8046907082,90.8758475892,107.5380439759,aft,673081.823056,214733.856996,,,,,,,,,,,,,,
RH45,RH45,,1.0,,,,,,87.7954876552,49.9932532571,111.3474566807,,,,96.77481709850002,49.9932532571,107.5380439759,,,,,1500.0,4500.0,,,,3500.0,1500.0,3500.0,,0.065,0.065,,8.4167045944,47.0902060161,674261.980946,215929.000681,-223.21613120751326,-223.21613120751326,280742.9978476032,524.5070190429688,2319.308837890625,,8.4167045944,47.0902060161,674261.980946,215929.000681,outcrop,49.9932532571,96.77481709850002,107.5380439759,aft,674261.980946,215929.000681,,,,,,,,,,,,,,
RH50,RH50,,0.9999682147,,,,,,0.0,0.0,96.7541447917,,,,0.0,0.0,96.7541447917,,,,,0.0,4000.0,,,,0.0,0.0,3000.0,,0.065,0.065,,8.4139814419,47.1070529819,674031.955478,217799.227412,1327.6625874132985,1327.6625874132985,281782.867116516,665.39697265625,2077.02490234375,,8.4139814419,47.1070529819,674031.955478,217799.227412,outcrop,0.0,0.0,96.7541447917,aft,674031.955478,217799.227412,,,,,,,,,,,,,,
RH60c,RH60c,,0.335208877,,,,,,102.20791670959998,,,,,,,,,,,,,,,,,,,,,,,,,8.3385145565,47.0857618908,668331.202088,215363.936509,3149.256918982016,3149.256918982016,275514.80841542257,419.906005859375,2065.514892578125,,8.3385145565,47.0857618908,668331.202088,215363.936509,outcrop,,,,aft,668331.202088,215363.936509,,,,,,,,,,,,,,
RH65,RH65,,1.0,,,,,,73.1761415035,0.0,110.0766045957,,,,97.0338097184,0.0,109.1063347421,,,,,0.0,4500.0,,,,3000.0,0.0,3500.0,,0.065,0.065,,8.380851,47.130224,671486.457694,220344.347073,4913.635892121021,4913.635892121021,281469.835943817,418.5010070800781,1936.180908203125,,8.380851,47.130224,671486.457694,220344.347073,outcrop,0.0,97.0338097184,109.1063347421,aft,671486.457694,220344.347073,,,,,,,,,,,,,,
