tectonic_unit,strat_unit,sample_id2,outcrop_or_borehole,x_swiss_coords,y_swiss_coords,long,lat,elevation,depth,Rr,s,n,A,MA,source,distance_thrust_front,distance_thrust_front_perpendicular,distance_thrust_front_parallel
Plateau Molass,OMM,,outcrop,484550,97400,5.947893,46.018256,340.0,0,0.45,0.04,50,0,V,PhD thesis Roland Schegg (1993),9575.685861929238,9575.685861929238,36917.22006993587
Plateau Molass,OMM,,outcrop,475100,99600,5.825318,46.036358,420.0,0,0.43,0.03,50,0,V,PhD thesis Roland Schegg (1993),18591.144826634707,18591.144826634707,36520.65279939864
Plateau Molass,OMM,,outcrop,476100,93100,5.839944,45.978085,,0,0.43,0.03,49,1,C,PhD thesis Roland Schegg (1993),15514.422786633299,15514.422786633299,36520.65279939864
Plateau Molass,OMM,,outcrop,480850,87700,5.902584,45.930374,350.0,0,0.42,0.03,50,1,C,PhD thesis Roland Schegg (1993),9303.584562258424,9303.584562258424,29495.04494691771
Plateau Molass,OMM,,outcrop,482350,78400,5.924233999999999,45.846996000000004,390.0,0,0.32,0.05,50,1,C,PhD thesis Roland Schegg (1993),8377.175534370506,8377.175534370506,22788.743635944727
Plateau Molass,USM,,outcrop,489970,119055,6.012775,46.213928,282.0,0,0.48,0.05,50,1,C,PhD thesis Roland Schegg (1993),14421.831159283654,14421.831159283654,60892.895981005706
Plateau Molass,USM,,outcrop,497750,11800,6.1366760000000005,45.250536,392.0,0,0.48,0.03,50,0,C,PhD thesis Roland Schegg (1993),-51483.19354471418,-51483.19354471418,0.0
Subalpine Molasse,USM,,outcrop,514200,115800,6.3273209999999995,46.188181,800.0,0,0.57,0.02,50,0,V,PhD thesis Roland Schegg (1993),-5652.289594591925,-5652.289594591925,69908.23973639832
Subalpine Molasse,USM,,outcrop,506000,112000,6.221891,46.152905,600.0,0,0.53,0.04,51,1,C,PhD thesis Roland Schegg (1993),-2266.0782568066766,-2266.0782568066766,65285.38576113155
Subalpine Molasse,USM,,outcrop,495900,84700,6.0972290000000005,45.905878,420.0,0,0.51,0.05,100,1,V,PhD thesis Roland Schegg (1993),-5299.179461918591,-5299.179461918591,30758.11710268392
Subalpine Molasse,USM,,outcrop,496600,98200,6.103282,46.027406,760.0,0,0.47,0.03,50,0,V,PhD thesis Roland Schegg (1993),-1333.635950722383,-1333.635950722383,46306.2012411996
Subalpine Molasse,USM,,outcrop,497800,96650,6.119114,46.013647999999996,605.0,0,0.52,0.04,50,0,V,PhD thesis Roland Schegg (1993),2349.0113532617956,2349.0113532617956,44004.24189936154
Subalpine Molasse,USM,,outcrop,498950,102050,6.132797,46.06239,870.0,0,0.51,0.04,51,0,V,PhD thesis Roland Schegg (1993),-2528.204502956693,-2528.204502956693,51834.72129328028
Subalpine Molasse,USM,,outcrop,500200,103450,6.14865,46.075169,860.0,0,0.5,0.08,100,1,V,PhD thesis Roland Schegg (1993),-2729.520027110876,-2729.520027110876,54740.92188445869
Subalpine Molasse,USM,,outcrop,500750,104000,6.155641,46.080197,850.0,0,0.48,0.04,50,1,V,PhD thesis Roland Schegg (1993),-2676.5704955876263,-2676.5704955876263,55316.762114858415
Subalpine Molasse,USM,,outcrop,501550,103600,6.166065000000001,46.076716,760.0,0,0.5,0.04,50,1,V,PhD thesis Roland Schegg (1993),-3507.874831134362,-3507.874831134362,55686.49120740081
Subalpine Molasse,USM,,outcrop,506600,97900,6.2324660000000005,46.026167,670.0,0,1.25,0.07,50,1,V,PhD thesis Roland Schegg (1993),-11123.15543766193,-11123.15543766193,55687.62427629214
Subalpine Molasse,USM,,outcrop,507425,113250,6.240086,46.164346,460.0,0,0.55,0.04,21,1,V,PhD thesis Roland Schegg (1993),-1997.4953376831695,-1997.4953376831695,67522.79796675808
Subalpine Molasse,USM,,outcrop,506650,112575,6.230188,46.158167999999996,460.0,0,0.54,0.05,50,1,V,PhD thesis Roland Schegg (1993),-2181.5036895146764,-2181.5036895146764,66234.62094548231
Subalpine Molasse,UMM,,outcrop,504950,91600,6.212435,45.969272,700.0,0,0.53,0.06,50,1,V,PhD thesis Roland Schegg (1993),-9497.809748402247,-9497.809748402247,42556.64592099167
Subalpine Molasse,UMM,,outcrop,510300,98850,6.28006,46.035214,820.0,0,0.5,0.04,50,0,V,PhD thesis Roland Schegg (1993),-13045.24187749112,-13045.24187749112,57334.420048294545
Subalpine Molasse,UMM,,outcrop,510250,98750,6.279433,46.034308,830.0,0,0.45,0.05,101,0,C,PhD thesis Roland Schegg (1993),-13073.054755727448,-13073.054755727448,57334.420048294545
Subalpine Molasse,UMM,,outcrop,512650,99900,6.310214,46.044967,740.0,0,0.64,0.05,50,0,V,PhD thesis Roland Schegg (1993),-14322.805615588059,-14322.805615588059,57516.59619104009
Subalpine Molasse,UMM,,outcrop,516050,100700,6.353987999999999,46.052595000000004,580.0,0,0.8,0.07,50,0,C,PhD thesis Roland Schegg (1993),-16960.60834964125,-16960.60834964125,57516.59619104009
Subalpine Molasse,UMM,,outcrop,511200,101000,6.291276,46.054672,700.0,0,0.57,0.06,62,0,V,PhD thesis Roland Schegg (1993),-12510.958940281951,-12510.958940281951,57516.59619104009
Subalpine Chains,UMM,,outcrop,517800,100000,6.376718,46.046514,680.0,0,0.78,0.08,92,0,C,PhD thesis Roland Schegg (1993),-18460.88778095821,-18460.88778095821,69908.23973639832
Subalpine Chains,UMM,,outcrop,505150,89620,6.215413,45.951492,910.0,0,0.55,0.08,100,1,C,PhD thesis Roland Schegg (1993),-10473.422584897678,-10473.422584897678,42556.64592099167
Subalpine Chains,UMM,,outcrop,504250,86150,6.2045129999999995,45.920154,600.0,0,0.65,0.09,100,1,V,PhD thesis Roland Schegg (1993),-11790.819956727008,-11790.819956727008,34339.69055889684
Subalpine Chains,UMM,,outcrop,504250,86150,6.2045129999999995,45.920154,600.0,0,0.56,0.04,50,1,V,PhD thesis Roland Schegg (1993),-11790.819956727008,-11790.819956727008,34339.69055889684
Subalpine Chains,UMM,,outcrop,503350,86620,6.192818,45.924254,540.0,0,0.53,0.04,50,1,V,PhD thesis Roland Schegg (1993),-10805.853315539314,-10805.853315539314,34339.69055889684
Subalpine Chains,UMM,,outcrop,503400,86700,6.193446,45.92498,570.0,0,0.55,0.05,50,1,V,PhD thesis Roland Schegg (1993),-10837.117536593943,-10837.117536593943,34339.69055889684
Subalpine Chains,UMM,,outcrop,515020,98050,6.3411610000000005,46.02863,1060.0,0,0.66,0.06,100,0,C,PhD thesis Roland Schegg (1993),-17316.33651773292,-17316.33651773292,57516.59619104009
Subalpine Chains,UMM,,outcrop,516550,99030,6.360744,46.037636,840.0,0,0.64,0.06,50,0,V,PhD thesis Roland Schegg (1993),-18138.005542260442,-18138.005542260442,57516.59619104009
Subalpine Chains,UMM,,outcrop,518950,99250,6.391703,46.039907,880.0,0,0.6,0.04,101,0,C,PhD thesis Roland Schegg (1993),-19695.891533163256,-19695.891533163256,69908.23973639832
Subalpine Chains,UMM,,outcrop,524600,100250,6.464517,46.049558000000005,900.0,0,0.65,0.05,108,0,C,PhD thesis Roland Schegg (1993),-22470.25192139891,-22470.25192139891,69908.23973639832
Subalpine Chains,UMM,,outcrop,523980,96600,6.4570989999999995,46.016657,1640.0,0,0.75,0.04,50,1,V,PhD thesis Roland Schegg (1993),-24769.368359147385,-24769.368359147385,69908.23973639832
Subalpine Chains,UMM,,outcrop,509800,92200,6.274879,45.975334000000004,750.0,0,0.57,0.04,96,1,C,PhD thesis Roland Schegg (1993),-14066.19082736489,-14066.19082736489,42556.64592099167
Subalpine Chains,Eocene fm.,,outcrop,502650,69300,6.1873629999999995,45.768375,980.0,0,0.49,0.05,50,1,D,PhD thesis Roland Schegg (1993),-9609.604955647674,-9609.604955647674,14411.574859489885
Subalpine Chains,Eocene fm.,,outcrop,502650,69300,6.1873629999999995,45.768375,980.0,0,0.51,0.05,50,1,V,PhD thesis Roland Schegg (1993),-9609.604955647674,-9609.604955647674,14411.574859489885
Subalpine Chains,Eocene fm.,,outcrop,538400,97700,6.643127000000001,46.028023,1170.0,0,1.61,0.12,51,1,V,PhD thesis Roland Schegg (1993),-35000.389321565126,-35000.389321565126,69908.23973639832
Subalpine Chains,Eocene fm.,,outcrop,538400,97700,6.643127000000001,46.028023,1170.0,0,1.53,0.18,50,1,V,PhD thesis Roland Schegg (1993),-35000.389321565126,-35000.389321565126,69908.23973639832
Plateau Molasse,OMM,,outcrop,550120,164940,6.78725,46.633835,580.0,0,0.51,0.04,50,0,,PhD thesis Roland Schegg (1993),5313.3255979806545,5313.3255979806545,135739.83372839904
Plateau Molasse,OMM,,outcrop,551680,165870,6.807524000000001,46.642315999999994,535.0,0,0.46,0.02,50,0,,PhD thesis Roland Schegg (1993),5687.175673788456,5687.175673788456,136253.74374087024
Plateau Molasse,OMM,4,outcrop,538960,156410,6.642652,46.556178,707.0,0,0.34,0.05,73,1,,PhD thesis Roland Schegg (1993),3918.567636540137,3918.567636540137,122501.36285900538
Plateau Molasse,OMM,6,outcrop,542180,155635,6.684736999999999,46.549494,775.0,0,0.45,0.04,99,0,,PhD thesis Roland Schegg (1993),1592.7156280738259,1592.7156280738259,124538.9996041863
Plateau Molasse,OMM,7,outcrop,540180,156220,6.658585,46.55458,680.0,0,0.36,0.03,100,1,,PhD thesis Roland Schegg (1993),3079.3736947319144,3079.3736947319144,123365.30966996506
Plateau Molasse,OMM,13,outcrop,542890,155210,6.694047,46.545732,760.0,0,0.44,0.02,49,0,,PhD thesis Roland Schegg (1993),891.3652603663564,891.3652603663564,125004.61953256311
Plateau Molasse,OMM,14,outcrop,551290,170420,6.801947,46.683215000000004,605.0,0,0.42,0.04,99,0,,PhD thesis Roland Schegg (1993),10238.676105558325,10238.676105558325,136253.74374087024
Plateau Molasse,OMM,15,outcrop,560500,177950,6.921677000000001,46.75156,564.0,0,0.43,0.05,100,1,,PhD thesis Roland Schegg (1993),10728.17659853013,10728.17659853013,152025.49737743754
Plateau Molasse,OMM,16,outcrop,561800,181440,6.938399,46.783029,540.0,0,0.43,0.05,69,1,,PhD thesis Roland Schegg (1993),13585.1252292716,13585.1252292716,153432.76864854488
Plateau Molasse,OMM,17,outcrop,563565,170940,6.9623479999999995,46.688678,710.0,0,0.53,0.06,99,1,,PhD thesis Roland Schegg (1993),3084.0678219946158,3084.0678219946158,152274.36928318697
Plateau Molasse,OMM,19,outcrop,556830,175050,6.873921000000001,46.725246000000006,550.0,0,0.55,0.05,100,1,,PhD thesis Roland Schegg (1993),10301.098483513411,10301.098483513411,151632.3458634914
Plateau Molasse,OMM,20,outcrop,555400,171950,6.855517999999999,46.697266,590.0,0,0.39,0.03,103,1,,PhD thesis Roland Schegg (1993),9532.902505110671,9532.902505110671,147123.58268852998
Plateau Molasse,OMM,21,outcrop,566280,176010,6.997464999999999,46.734427000000004,650.0,0,0.48,0.06,104,1,,PhD thesis Roland Schegg (1993),6972.489130744525,6972.489130744525,156157.31274204905
Plateau Molasse,OMM,23,outcrop,555380,170810,6.855367,46.68701,610.0,0,0.48,0.05,100,0,,PhD thesis Roland Schegg (1993),8654.068346799122,8654.068346799122,146606.69622559394
Plateau Molasse,OMM,24,outcrop,558210,176340,6.8918550000000005,46.736938,550.0,0,0.58,0.08,101,0,,PhD thesis Roland Schegg (1993),10403.780469081265,10403.780469081265,151811.590191838
Plateau Molasse,OMM,26,outcrop,557060,174990,6.8769350000000005,46.724721,530.0,0,0.56,0.07,101,0,,PhD thesis Roland Schegg (1993),10096.742201920491,10096.742201920491,151632.3458634914
Plateau Molasse,OMM,28,outcrop,552680,173240,6.8198229999999995,46.708682,550.0,0,0.41,0.05,50,1,,PhD thesis Roland Schegg (1993),12255.63056324908,12255.63056324908,146606.69622559394
Plateau Molasse,OMM,29,outcrop,553035,173670,6.824422,46.712575,540.0,0,0.46,0.02,50,0,,PhD thesis Roland Schegg (1993),12352.506787630065,12352.506787630065,146606.69622559394
Plateau Molasse,OMM,30,outcrop,552660,174560,6.819425,46.720554,630.0,0,0.39,0.03,50,0,,PhD thesis Roland Schegg (1993),13281.326719620678,13281.326719620678,146750.5965859417
Plateau Molasse,OMM,31,outcrop,553340,173910,6.828386,46.714756,530.0,0,0.45,0.04,50,1,,PhD thesis Roland Schegg (1993),12349.043847612249,12349.043847612249,146876.0901975708
Plateau Molasse,OMM,33,outcrop,554950,174720,6.849361999999999,46.722153000000006,605.0,0,0.41,0.03,50,0,,PhD thesis Roland Schegg (1993),11501.104185212476,11501.104185212476,151430.441452024
Plateau Molasse,OMM,51,outcrop,538350,154150,6.635,46.535793,,0,0.52,0.05,50,1,,PhD thesis Roland Schegg (1993),2336.155425879746,2336.155425879746,120807.12353718819
Plateau Molasse,OMM,53,outcrop,539150,155600,6.645237,46.54891,,0,0.51,0.03,30,1,,PhD thesis Roland Schegg (1993),3140.7159811864003,3140.7159811864003,122206.15648667671
Plateau Molasse,OMM,82,outcrop,540800,155700,6.666736,46.549958000000004,,0,0.56,0.07,50,0,,PhD thesis Roland Schegg (1993),2307.3577422788308,2307.3577422788308,123565.39553141093
Plateau Molasse,OMM,87,outcrop,540180,156240,6.658582000000001,46.554759999999995,,0,0.48,0.06,50,1,,PhD thesis Roland Schegg (1993),3096.1260838032554,3096.1260838032554,123365.30966996506
Plateau Molasse,OMM,105,outcrop,552380,178160,6.8153880000000004,46.752917,620.0,0,0.43,0.03,50,0,,PhD thesis Roland Schegg (1993),15675.544437260964,15675.544437260964,151632.3458634914
Plateau Molasse,OMM,123,outcrop,553130,171520,6.825883999999999,46.693242,530.0,0,0.47,0.03,50,0,,PhD thesis Roland Schegg (1993),10584.716706735479,10584.716706735479,143546.82103230403
Plateau Molasse,OMM,127,outcrop,547780,180810,6.754884,46.776409,510.0,0,0.41,0.04,50,0,,PhD thesis Roland Schegg (1993),20903.310323177142,20903.310323177142,151632.3458634914
Plateau Molasse,OMM,126,outcrop,563600,169450,6.962924,46.675277,775.0,0,0.37,0.04,54,0,,PhD thesis Roland Schegg (1993),1700.4026834413426,1700.4026834413426,151963.97104529102
Plateau Molasse,OMM,125,outcrop,547630,180060,6.753006,46.769651,560.0,0,0.4,0.02,50,0,,PhD thesis Roland Schegg (1993),20429.682716443036,20429.682716443036,136253.74374087024
Plateau Molasse,OMM,129,outcrop,554060,185270,6.83666,46.816990999999994,600.0,0,0.41,0.05,50,0,,PhD thesis Roland Schegg (1993),20164.196193192853,20164.196193192853,151811.590191838
Plateau Molasse,OMM,131,outcrop,574800,176600,7.1089009999999995,46.740111999999996,595.0,0,0.44,0.03,48,1,,PhD thesis Roland Schegg (1993),4350.424988219573,4350.424988219573,166577.22107861834
Plateau Molasse,OMM,135,outcrop,573000,179760,7.0851619999999995,46.768467,585.0,0,0.43,0.03,50,1,,PhD thesis Roland Schegg (1993),7986.933552880323,7986.933552880323,166577.22107861834
Plateau Molasse,OMM,140,outcrop,570330,176000,7.050452000000001,46.734531,635.0,0,0.42,0.06,50,1,,PhD thesis Roland Schegg (1993),6162.076050237925,6162.076050237925,159139.6974485138
Plateau Molasse,OMM,143,outcrop,575720,179430,7.120788,46.765603999999996,575.0,0,0.41,0.04,50,1,,PhD thesis Roland Schegg (1993),6300.714550561432,6300.714550561432,168544.1603911634
Plateau Molasse,OMM,144,outcrop,575720,179430,7.120788,46.765603999999996,575.0,0,0.44,0.03,40,1,,PhD thesis Roland Schegg (1993),6300.714550561432,6300.714550561432,168544.1603911634
Plateau Molasse,OMM,145,outcrop,576320,179800,7.128624,46.768954,610.0,0,0.42,0.03,50,1,,PhD thesis Roland Schegg (1993),6416.642042194374,6416.642042194374,168544.1603911634
Plateau Molasse,OMM,147,outcrop,575120,177360,7.113047,46.746961,593.0,0,0.44,0.03,50,0,,PhD thesis Roland Schegg (1993),4899.576522277901,4899.576522277901,168544.1603911634
Plateau Molasse,OMM,148,outcrop,575020,176870,7.111764999999999,46.74255,595.0,0,0.38,0.07,50,1,,PhD thesis Roland Schegg (1993),4492.295635655027,4492.295635655027,166577.22107861834
Plateau Molasse,OMM,150,outcrop,574990,176560,7.111389,46.73976,600.0,0,0.49,0.04,69,0,,PhD thesis Roland Schegg (1993),4226.229120400978,4226.229120400978,166577.22107861834
Plateau Molasse,OMM,151,outcrop,575345,175320,7.116101,46.728619,630.0,0,0.41,0.04,98,0,,PhD thesis Roland Schegg (1993),2969.691916365268,2969.691916365268,166577.22107861834
Plateau Molasse,OMM,152,outcrop,575300,175820,7.115486,46.733115000000005,640.0,0,0.38,0.03,93,1,,PhD thesis Roland Schegg (1993),3426.505884735235,3426.505884735235,166577.22107861834
